leads_id,leads_registered,number_of_employee,industry,session_source,total_visits,first_visits,cluster
244,2021-02-03 14:36:48+00:00,5,Education,CPC,3,/form/demo,2
290,2021-02-23 14:27:36+00:00,5,Education,Organic Social,2,/features,2
425,2021-03-30 15:10:12+00:00,5,Education,CPC,4,/home,0
437,2021-04-01 15:39:02+00:00,5,Education,Organic Social,4,/features,0
462,2021-04-06 10:44:11+00:00,5,Education,Organic Social,3,/studycase,2
464,2021-04-06 17:16:04+00:00,5,Education,Organic Social,3,/form/demo,2
692,2021-06-07 17:36:20+00:00,5,Education,Organic Social,2,/home,2
702,2021-06-11 09:18:50+00:00,5,Education,Organic Social,3,/features,2
1244,2021-11-05 12:28:15+00:00,5,Education,Organic Search,4,/features,0
1407,2021-12-10 10:33:09+00:00,5,Education,CPC,2,/features,2
1592,2022-01-07 13:42:38+00:00,5,Education,CPC,3,/home,2
1846,2022-03-11 10:17:18+00:00,5,Education,CPC,4,/features,0
1988,2022-04-01 12:07:31+00:00,5,Education,Organic Social,4,/features,0
2044,2022-04-15 17:44:51+00:00,5,Education,CPC,3,/features,2
2062,2022-04-25 12:58:42+00:00,5,Education,Direct,4,/home,0
2083,2022-04-28 09:02:42+00:00,5,Education,CPC,2,/form/demo,2
2111,2022-05-03 15:08:57+00:00,5,Education,Refferal,4,/features,0
2186,2022-05-25 10:55:40+00:00,5,Education,Organic Search,3,/features,2
2313,2022-06-06 14:08:35+00:00,5,Education,Direct,3,/studycase,2
2531,2022-07-05 13:40:42+00:00,5,Education,CPC,3,/home,2
2620,2022-07-29 15:09:03+00:00,5,Education,Organic Social,4,/features,0
3004,2022-09-26 09:53:45+00:00,5,Education,Direct,4,/studycase,0
3093,2022-09-30 13:02:59+00:00,5,Education,CPC,3,/home,2
3225,2022-10-26 13:53:27+00:00,5,Education,CPC,2,/features,2
3322,2022-11-10 16:50:24+00:00,5,Education,CPC,2,/home,2
70,2020-12-15 15:14:56+00:00,10,Education,CPC,3,/form/demo,2
170,2021-01-07 17:11:04+00:00,10,Education,Organic Social,4,/home,0
185,2021-01-13 16:35:03+00:00,10,Education,CPC,2,/features,2
314,2021-03-01 15:34:36+00:00,10,Education,Organic Social,3,/features,2
618,2021-05-24 11:40:01+00:00,10,Education,Organic Search,3,/home,2
709,2021-06-14 17:04:02+00:00,10,Education,CPC,4,/features,0
716,2021-06-18 16:08:03+00:00,10,Education,CPC,3,/form/demo,2
1041,2021-09-09 17:40:28+00:00,10,Education,Organic Search,2,/features,2
1162,2021-10-08 10:27:26+00:00,10,Education,CPC,4,/portofolio,0
1317,2021-11-30 11:53:34+00:00,10,Education,CPC,3,/home,2
1379,2021-12-07 11:04:14+00:00,10,Education,Organic Social,3,/features,2
1394,2021-12-08 15:58:28+00:00,10,Education,Organic Search,3,/features,2
1527,2021-12-30 17:45:27+00:00,10,Education,Organic Social,3,/features,2
1652,2022-01-28 12:17:21+00:00,10,Education,Organic Social,2,/features,2
1841,2022-03-10 12:51:35+00:00,10,Education,Organic Search,4,/home,0
1878,2022-03-21 10:24:13+00:00,10,Education,Organic Social,3,/features,2
1986,2022-04-01 09:46:00+00:00,10,Education,CPC,4,/home,0
2861,2022-09-06 17:40:27+00:00,10,Education,Organic Search,4,/home,0
2868,2022-09-07 13:56:59+00:00,10,Education,CPC,4,/features,0
2978,2022-09-22 14:32:05+00:00,10,Education,Organic Social,4,/features,0
3150,2022-10-05 17:17:27+00:00,10,Education,CPC,4,/home,0
3375,2022-11-28 12:32:31+00:00,10,Education,CPC,4,/home,0
183,2021-01-13 14:48:24+00:00,15,Education,Organic Search,3,/features,2
190,2021-01-15 12:31:59+00:00,15,Education,Organic Social,4,/features,0
416,2021-03-29 16:56:00+00:00,15,Education,CPC,4,/features,0
452,2021-04-02 17:51:28+00:00,15,Education,CPC,3,/home,2
630,2021-05-28 12:11:52+00:00,15,Education,CPC,4,/home,0
1055,2021-09-17 11:11:11+00:00,15,Education,Organic Social,4,/home,0
1272,2021-11-16 16:30:47+00:00,15,Education,CPC,3,/home,2
1366,2021-12-06 10:51:53+00:00,15,Education,Direct,2,/testimonials,2
1472,2021-12-23 17:42:48+00:00,15,Education,Organic Social,4,/home,0
1668,2022-02-02 10:02:14+00:00,15,Education,CPC,4,/features,0
1886,2022-03-22 09:11:47+00:00,15,Education,Organic Social,3,/home,2
1939,2022-03-25 17:18:34+00:00,15,Education,CPC,4,/home,0
2112,2022-05-03 16:37:06+00:00,15,Education,CPC,4,/home,0
2162,2022-05-18 10:21:26+00:00,15,Education,Direct,2,/home,2
2374,2022-06-14 17:27:35+00:00,15,Education,Organic Social,3,/home,2
2501,2022-07-01 09:44:51+00:00,15,Education,CPC,4,/home,0
2512,2022-07-01 15:44:15+00:00,15,Education,CPC,3,/features,2
2547,2022-07-08 11:19:57+00:00,15,Education,CPC,3,/form/demo,2
2595,2022-07-26 16:45:11+00:00,15,Education,Organic Social,6,/home,0
2679,2022-08-08 09:26:25+00:00,15,Education,CPC,2,/home,2
2856,2022-09-06 13:56:38+00:00,15,Education,CPC,4,/home,0
2889,2022-09-09 17:39:34+00:00,15,Education,Organic Search,3,/home,2
2924,2022-09-16 10:35:57+00:00,15,Education,Direct,2,/home,2
3134,2022-10-05 09:34:18+00:00,15,Education,Direct,3,/home,2
3312,2022-11-07 16:50:02+00:00,15,Education,CPC,2,/portofolio,2
2128,2022-05-05 10:41:43+00:00,275,Education,Direct,6,/form/demo,0
2717,2022-08-23 09:37:49+00:00,275,Education,Refferal,1,/form/set-a-meeting,1
3355,2022-11-23 16:06:28+00:00,275,Education,Refferal,1,/form/set-a-meeting,1
221,2021-01-29 09:18:23+00:00,20,Education,CPC,3,/home,2
395,2021-03-23 14:37:39+00:00,20,Education,Organic Search,4,/studycase,0
427,2021-03-30 16:08:30+00:00,20,Education,Refferal,4,/features,0
490,2021-04-13 09:14:59+00:00,20,Education,Organic Social,4,/home,0
510,2021-04-26 10:23:53+00:00,20,Education,CPC,4,/features,0
733,2021-06-24 10:44:12+00:00,20,Education,Direct,6,/portofolio,0
867,2021-07-30 10:38:47+00:00,20,Education,CPC,3,/features,2
895,2021-08-04 12:30:17+00:00,20,Education,CPC,2,/home,2
919,2021-08-11 10:25:16+00:00,20,Education,CPC,3,/features,2
1036,2021-09-08 15:49:15+00:00,20,Education,CPC,3,/features,2
1666,2022-02-01 16:10:34+00:00,20,Education,Organic Social,2,/home,2
1765,2022-03-01 09:44:18+00:00,20,Education,CPC,3,/home,2
1800,2022-03-04 10:52:54+00:00,20,Education,CPC,4,/features,0
1808,2022-03-04 17:14:52+00:00,20,Education,CPC,2,/features,2
2124,2022-05-04 15:42:59+00:00,20,Education,Organic Social,3,/features,2
2163,2022-05-18 12:55:47+00:00,20,Education,Organic Social,4,/studycase,0
2343,2022-06-08 13:49:13+00:00,20,Education,CPC,4,/features,0
2413,2022-06-22 10:44:06+00:00,20,Education,Organic Social,4,/home,0
2481,2022-06-29 10:22:55+00:00,20,Education,CPC,4,/features,0
2587,2022-07-25 09:10:43+00:00,20,Education,CPC,4,/features,0
2664,2022-08-04 11:00:54+00:00,20,Education,CPC,4,/home,0
2673,2022-08-05 16:08:20+00:00,20,Education,CPC,4,/features,0
3108,2022-10-03 09:21:55+00:00,20,Education,CPC,4,/home,0
3169,2022-10-11 10:23:06+00:00,20,Education,Direct,4,/features,0
3223,2022-10-26 11:41:10+00:00,20,Education,Organic Social,3,/features,2
3387,2022-11-30 16:31:45+00:00,20,Education,CPC,3,/features,2
168,2021-01-07 14:32:24+00:00,25,Education,CPC,2,/home,2
272,2021-02-15 17:22:38+00:00,25,Education,CPC,3,/home,2
391,2021-03-22 09:49:35+00:00,25,Education,Organic Search,4,/home,0
476,2021-04-08 12:01:56+00:00,25,Education,CPC,5,/features,0
566,2021-05-04 14:09:35+00:00,25,Education,Refferal,2,/home,2
664,2021-06-03 13:53:26+00:00,25,Education,CPC,4,/features,0
681,2021-06-04 16:57:21+00:00,25,Education,Organic Social,3,/form/demo,2
751,2021-06-28 13:10:19+00:00,25,Education,Direct,2,/form/demo,2
1034,2021-09-08 13:49:39+00:00,25,Education,CPC,4,/features,0
1120,2021-09-30 16:19:12+00:00,25,Education,CPC,3,/studycase,2
1146,2021-10-06 09:25:03+00:00,25,Education,Organic Social,2,/form/demo,2
1161,2021-10-08 10:22:40+00:00,25,Education,Organic Search,4,/features,0
1180,2021-10-19 15:03:32+00:00,25,Education,Organic Social,2,/home,2
1261,2021-11-11 09:16:45+00:00,25,Education,CPC,3,/form/demo,2
1304,2021-11-26 17:09:08+00:00,25,Education,Organic Social,3,/home,2
1543,2021-12-31 17:05:32+00:00,25,Education,CPC,4,/home,0
1870,2022-03-17 14:07:43+00:00,25,Education,Refferal,4,/home,0
1994,2022-04-01 15:14:34+00:00,25,Education,CPC,3,/form/demo,2
2014,2022-04-05 13:37:04+00:00,25,Education,CPC,2,/studycase,2
2136,2022-05-06 11:00:39+00:00,25,Education,Organic Search,4,/home,0
2271,2022-06-02 12:18:03+00:00,25,Education,CPC,4,/form/demo,0
2318,2022-06-06 16:26:36+00:00,25,Education,Direct,2,/studycase,2
2663,2022-08-04 10:24:33+00:00,25,Education,CPC,3,/features,2
2830,2022-09-05 09:24:59+00:00,25,Education,Organic Search,4,/home,0
2973,2022-09-22 10:38:22+00:00,25,Education,Organic Search,3,/home,2
3180,2022-10-13 14:52:50+00:00,25,Education,CPC,4,/features,0
3279,2022-11-01 13:40:33+00:00,25,Education,Organic Social,4,/features,0
301,2021-02-26 09:58:07+00:00,30,Education,CPC,3,/home,2
348,2021-03-05 17:23:53+00:00,30,Education,CPC,3,/portofolio,2
