leads_id,session_source_code,industry_code,leads_registered,number_of_employee
244,1,1,2021-02-03 14:36:48.000000 UTC,5
290,4,1,2021-02-23 14:27:36.000000 UTC,5
425,1,1,2021-03-30 15:10:12.000000 UTC,5
437,4,1,2021-04-01 15:39:02.000000 UTC,5
462,4,1,2021-04-06 10:44:11.000000 UTC,5
464,4,1,2021-04-06 17:16:04.000000 UTC,5
692,4,1,2021-06-07 17:36:20.000000 UTC,5
702,4,1,2021-06-11 09:18:50.000000 UTC,5
1244,3,1,2021-11-05 12:28:15.000000 UTC,5
1407,1,1,2021-12-10 10:33:09.000000 UTC,5
1592,1,1,2022-01-07 13:42:38.000000 UTC,5
1846,1,1,2022-03-11 10:17:18.000000 UTC,5
1988,4,1,2022-04-01 12:07:31.000000 UTC,5
2044,1,1,2022-04-15 17:44:51.000000 UTC,5
2062,2,1,2022-04-25 12:58:42.000000 UTC,5
2083,1,1,2022-04-28 09:02:42.000000 UTC,5
2111,5,1,2022-05-03 15:08:57.000000 UTC,5
2186,3,1,2022-05-25 10:55:40.000000 UTC,5
2313,2,1,2022-06-06 14:08:35.000000 UTC,5
2531,1,1,2022-07-05 13:40:42.000000 UTC,5
2620,4,1,2022-07-29 15:09:03.000000 UTC,5
3004,2,1,2022-09-26 09:53:45.000000 UTC,5
3093,1,1,2022-09-30 13:02:59.000000 UTC,5
3225,1,1,2022-10-26 13:53:27.000000 UTC,5
3322,1,1,2022-11-10 16:50:24.000000 UTC,5
70,1,1,2020-12-15 15:14:56.000000 UTC,10
170,4,1,2021-01-07 17:11:04.000000 UTC,10
185,1,1,2021-01-13 16:35:03.000000 UTC,10
314,4,1,2021-03-01 15:34:36.000000 UTC,10
618,3,1,2021-05-24 11:40:01.000000 UTC,10
709,1,1,2021-06-14 17:04:02.000000 UTC,10
716,1,1,2021-06-18 16:08:03.000000 UTC,10
1041,3,1,2021-09-09 17:40:28.000000 UTC,10
1162,1,1,2021-10-08 10:27:26.000000 UTC,10
1317,1,1,2021-11-30 11:53:34.000000 UTC,10
1379,4,1,2021-12-07 11:04:14.000000 UTC,10
1394,3,1,2021-12-08 15:58:28.000000 UTC,10
1527,4,1,2021-12-30 17:45:27.000000 UTC,10
1652,4,1,2022-01-28 12:17:21.000000 UTC,10
1841,3,1,2022-03-10 12:51:35.000000 UTC,10
1878,4,1,2022-03-21 10:24:13.000000 UTC,10
1986,1,1,2022-04-01 09:46:00.000000 UTC,10
2861,3,1,2022-09-06 17:40:27.000000 UTC,10
2868,1,1,2022-09-07 13:56:59.000000 UTC,10
2978,4,1,2022-09-22 14:32:05.000000 UTC,10
3150,1,1,2022-10-05 17:17:27.000000 UTC,10
3375,1,1,2022-11-28 12:32:31.000000 UTC,10
183,3,1,2021-01-13 14:48:24.000000 UTC,15
190,4,1,2021-01-15 12:31:59.000000 UTC,15
416,1,1,2021-03-29 16:56:00.000000 UTC,15
452,1,1,2021-04-02 17:51:28.000000 UTC,15
630,1,1,2021-05-28 12:11:52.000000 UTC,15
1055,4,1,2021-09-17 11:11:11.000000 UTC,15
1272,1,1,2021-11-16 16:30:47.000000 UTC,15
1366,2,1,2021-12-06 10:51:53.000000 UTC,15
1472,4,1,2021-12-23 17:42:48.000000 UTC,15
1668,1,1,2022-02-02 10:02:14.000000 UTC,15
1886,4,1,2022-03-22 09:11:47.000000 UTC,15
1939,1,1,2022-03-25 17:18:34.000000 UTC,15
2112,1,1,2022-05-03 16:37:06.000000 UTC,15
2162,2,1,2022-05-18 10:21:26.000000 UTC,15
2374,4,1,2022-06-14 17:27:35.000000 UTC,15
2501,1,1,2022-07-01 09:44:51.000000 UTC,15
2512,1,1,2022-07-01 15:44:15.000000 UTC,15
2547,1,1,2022-07-08 11:19:57.000000 UTC,15
2595,4,1,2022-07-26 16:45:11.000000 UTC,15
2679,1,1,2022-08-08 09:26:25.000000 UTC,15
2856,1,1,2022-09-06 13:56:38.000000 UTC,15
2889,3,1,2022-09-09 17:39:34.000000 UTC,15
2924,2,1,2022-09-16 10:35:57.000000 UTC,15
3134,2,1,2022-10-05 09:34:18.000000 UTC,15
3312,1,1,2022-11-07 16:50:02.000000 UTC,15
2128,2,1,2022-05-05 10:41:43.000000 UTC,275
2717,5,1,2022-08-23 09:37:49.000000 UTC,275
3355,5,1,2022-11-23 16:06:28.000000 UTC,275
221,1,1,2021-01-29 09:18:23.000000 UTC,20
395,3,1,2021-03-23 14:37:39.000000 UTC,20
427,5,1,2021-03-30 16:08:30.000000 UTC,20
490,4,1,2021-04-13 09:14:59.000000 UTC,20
510,1,1,2021-04-26 10:23:53.000000 UTC,20
733,2,1,2021-06-24 10:44:12.000000 UTC,20
867,1,1,2021-07-30 10:38:47.000000 UTC,20
895,1,1,2021-08-04 12:30:17.000000 UTC,20
919,1,1,2021-08-11 10:25:16.000000 UTC,20
1036,1,1,2021-09-08 15:49:15.000000 UTC,20
1666,4,1,2022-02-01 16:10:34.000000 UTC,20
1765,1,1,2022-03-01 09:44:18.000000 UTC,20
1800,1,1,2022-03-04 10:52:54.000000 UTC,20
1808,1,1,2022-03-04 17:14:52.000000 UTC,20
2124,4,1,2022-05-04 15:42:59.000000 UTC,20
