contract_id,leads_id,date,subscription_type,number_of_employee,reten_flag,user_price
1194,3338,2022-12-19,Startup,15,0,20000
1737,3338,2023-12-19,Startup,15,1,20000
268,980,2021-10-07,Startup,275,0,20000
441,1579,2022-02-01,Startup,275,0,20000
1283,1579,2023-02-01,Startup,275,1,20000
1486,2351,2023-07-08,Startup,275,1,20000
1542,2579,2023-08-22,Startup,275,1,20000
886,2579,2022-08-22,Startup,275,0,20000
783,2351,2022-07-08,Startup,275,0,20000
194,767,2021-07-29,Startup,20,0,20000
837,767,2022-07-29,Startup,20,1,20000
325,1210,2021-12-03,Startup,25,0,20000
1179,1210,2022-12-03,Startup,25,1,20000
114,438,2021-04-30,Startup,25,0,20000
626,438,2022-04-30,Startup,25,1,20000
261,992,2021-10-01,Startup,35,0,20000
971,992,2022-10-01,Startup,35,1,20000
1583,2724,2023-09-23,Startup,300,1,20000
1399,1980,2023-05-03,Startup,300,1,20000
636,1980,2022-05-03,Startup,300,0,20000
208,780,2021-08-04,Startup,300,0,20000
951,2724,2022-09-23,Startup,300,0,20000
869,780,2022-08-04,Startup,300,1,20000
82,360,2021-04-01,Startup,45,0,20000
23,73,2021-01-08,Startup,45,0,20000
531,360,2022-04-01,Startup,45,1,20000
396,73,2022-01-08,Startup,45,1,20000
1683,3021,2023-11-02,Startup,50,1,20000
976,2801,2022-10-03,Startup,50,0,20000
1186,1259,2022-12-07,Startup,50,1,20000
1150,1185,2022-11-24,Startup,50,1,20000
316,1185,2021-11-24,Startup,50,0,20000
1695,3127,2023-11-03,Startup,50,1,20000
1003,2774,2022-10-05,Startup,50,0,20000
990,2754,2022-10-04,Startup,50,0,20000
1457,2267,2023-07-01,Startup,50,1,20000
1243,1373,2023-01-05,Startup,50,1,20000
1533,2503,2023-08-02,Startup,50,1,20000
1605,2774,2023-10-05,Startup,50,1,20000
744,2267,2022-07-01,Startup,50,0,20000
1555,2618,2023-08-31,Startup,50,1,20000
1593,2801,2023-10-03,Startup,50,1,20000
1643,2979,2023-10-25,Startup,50,1,20000
1468,2306,2023-07-05,Startup,50,1,20000
1479,2275,2023-07-07,Startup,50,1,20000
1047,2979,2022-10-25,Startup,50,0,20000
912,2618,2022-08-31,Startup,50,0,20000
768,2306,2022-07-05,Startup,50,0,20000
1109,3021,2022-11-02,Startup,50,0,20000
1601,2754,2023-10-04,Startup,50,1,20000
381,1373,2022-01-05,Startup,50,0,20000
860,2503,2022-08-02,Startup,50,0,20000
329,1259,2021-12-07,Startup,50,0,20000
779,2275,2022-07-07,Startup,50,0,20000
1118,3127,2022-11-03,Startup,50,0,20000
638,1942,2022-05-03,Startup,50,0,20000
1401,1942,2023-05-03,Startup,50,1,20000
1043,3002,2022-10-25,Startup,60,0,20000
450,126,2022-02-04,Startup,60,1,20000
1303,1639,2023-02-28,Startup,60,1,20000
632,444,2022-05-03,Startup,60,1,20000
1597,2838,2023-10-04,Startup,60,1,20000
171,678,2021-07-02,Startup,60,0,20000
992,2838,2022-10-04,Startup,60,0,20000
1333,1754,2023-04-01,Startup,60,1,20000
753,678,2022-07-02,Startup,60,1,20000
1206,1299,2022-12-23,Startup,60,1,20000
986,2821,2022-10-04,Startup,60,0,20000
1599,2750,2023-10-04,Startup,60,1,20000
991,2750,2022-10-04,Startup,60,0,20000
653,1984,2022-05-06,Startup,60,0,20000
1596,2821,2023-10-04,Startup,60,1,20000
335,1299,2021-12-23,Startup,60,0,20000
1411,1984,2023-05-06,Startup,60,1,20000
1286,1555,2023-02-02,Startup,60,1,20000
43,126,2021-02-04,Startup,60,0,20000
