funnel_id,leads_id,stage_id,TimeStamp,reason
1,1,101,2020-11-25 13:49:44.000000 UTC,
2,2,101,2020-11-26 09:04:53.000000 UTC,
3,3,101,2020-11-26 09:26:32.000000 UTC,
4,4,101,2020-11-26 13:56:31.000000 UTC,
5,5,101,2020-11-27 11:07:38.000000 UTC,
6,6,101,2020-11-30 09:16:32.000000 UTC,
7,7,101,2020-11-30 12:14:43.000000 UTC,
8,8,101,2020-11-30 16:11:03.000000 UTC,
9,9,101,2020-11-30 16:34:52.000000 UTC,
10,10,101,2020-11-30 17:53:22.000000 UTC,
11,11,101,2020-12-01 09:19:58.000000 UTC,
12,12,101,2020-12-01 10:14:03.000000 UTC,
13,13,101,2020-12-01 11:25:09.000000 UTC,
15,14,101,2020-12-02 09:18:00.000000 UTC,
17,15,101,2020-12-02 10:31:02.000000 UTC,
18,16,101,2020-12-02 12:58:24.000000 UTC,
19,17,101,2020-12-02 14:27:54.000000 UTC,
20,18,101,2020-12-02 14:47:29.000000 UTC,
21,19,101,2020-12-02 15:09:05.000000 UTC,
22,20,101,2020-12-02 15:13:48.000000 UTC,
24,21,101,2020-12-03 10:20:02.000000 UTC,
26,22,101,2020-12-03 13:31:39.000000 UTC,
31,23,101,2020-12-04 10:32:42.000000 UTC,
33,24,101,2020-12-04 11:01:40.000000 UTC,
38,25,101,2020-12-04 13:50:11.000000 UTC,
39,26,101,2020-12-04 14:59:50.000000 UTC,
40,27,101,2020-12-04 15:15:55.000000 UTC,
41,28,101,2020-12-04 15:48:54.000000 UTC,
43,29,101,2020-12-04 16:12:38.000000 UTC,
44,30,101,2020-12-04 16:36:34.000000 UTC,
45,31,101,2020-12-04 17:07:02.000000 UTC,
47,32,101,2020-12-07 09:18:17.000000 UTC,
49,33,101,2020-12-07 09:37:27.000000 UTC,
50,34,101,2020-12-07 09:46:33.000000 UTC,
51,35,101,2020-12-07 09:52:53.000000 UTC,
55,36,101,2020-12-07 11:19:48.000000 UTC,
58,37,101,2020-12-07 12:25:04.000000 UTC,
62,38,101,2020-12-07 14:24:19.000000 UTC,
65,39,101,2020-12-07 16:32:06.000000 UTC,
66,40,101,2020-12-07 16:39:49.000000 UTC,
72,41,101,2020-12-08 09:56:50.000000 UTC,
74,42,101,2020-12-08 10:53:09.000000 UTC,
77,43,101,2020-12-08 12:08:28.000000 UTC,
81,44,101,2020-12-08 16:06:14.000000 UTC,
82,45,101,2020-12-08 16:08:54.000000 UTC,
83,46,101,2020-12-08 16:52:10.000000 UTC,
85,47,101,2020-12-08 17:32:36.000000 UTC,
89,48,101,2020-12-09 10:23:17.000000 UTC,
91,49,101,2020-12-09 11:25:51.000000 UTC,
95,50,101,2020-12-09 12:46:41.000000 UTC,
98,51,101,2020-12-09 13:24:49.000000 UTC,
106,52,101,2020-12-10 10:48:44.000000 UTC,
110,53,101,2020-12-10 11:56:01.000000 UTC,
112,54,101,2020-12-10 14:54:11.000000 UTC,
113,55,101,2020-12-10 16:21:35.000000 UTC,
114,56,101,2020-12-10 17:16:59.000000 UTC,
115,57,101,2020-12-11 09:11:03.000000 UTC,
119,58,101,2020-12-11 09:42:14.000000 UTC,
123,59,101,2020-12-11 10:28:14.000000 UTC,
124,60,101,2020-12-11 10:51:42.000000 UTC,
125,61,101,2020-12-11 11:24:42.000000 UTC,
127,62,101,2020-12-11 13:28:06.000000 UTC,
130,63,101,2020-12-11 13:47:41.000000 UTC,
140,64,101,2020-12-11 16:32:08.000000 UTC,
141,65,101,2020-12-11 16:40:43.000000 UTC,
147,66,101,2020-12-11 17:59:08.000000 UTC,
152,67,101,2020-12-14 09:51:37.000000 UTC,
167,68,101,2020-12-14 15:59:08.000000 UTC,
182,69,101,2020-12-15 12:05:07.000000 UTC,
185,70,101,2020-12-15 15:14:56.000000 UTC,
196,71,101,2020-12-16 09:48:00.000000 UTC,
205,72,101,2020-12-16 15:19:44.000000 UTC,
211,73,101,2020-12-16 17:40:41.000000 UTC,
226,74,101,2020-12-17 14:54:06.000000 UTC,
228,75,101,2020-12-17 15:10:23.000000 UTC,
231,76,101,2020-12-17 17:02:57.000000 UTC,
241,77,101,2020-12-18 11:05:47.000000 UTC,
251,78,101,2020-12-18 16:18:04.000000 UTC,
256,79,101,2020-12-21 09:23:46.000000 UTC,
259,80,101,2020-12-21 10:30:38.000000 UTC,
266,81,101,2020-12-21 12:06:55.000000 UTC,
269,82,101,2020-12-21 12:29:47.000000 UTC,
282,83,101,2020-12-22 10:28:28.000000 UTC,
285,84,101,2020-12-22 10:57:57.000000 UTC,
290,85,101,2020-12-22 14:17:52.000000 UTC,
293,86,101,2020-12-22 16:01:22.000000 UTC,
306,87,101,2020-12-23 12:00:51.000000 UTC,
310,88,101,2020-12-23 14:51:37.000000 UTC,
312,89,101,2020-12-23 15:19:07.000000 UTC,
313,90,101,2020-12-23 15:44:06.000000 UTC,
316,91,101,2020-12-23 16:25:55.000000 UTC,
318,92,101,2020-12-24 09:45:36.000000 UTC,
320,93,101,2020-12-24 11:43:06.000000 UTC,
321,94,101,2020-12-24 11:56:10.000000 UTC,
325,95,101,2020-12-24 14:26:15.000000 UTC,
327,96,101,2020-12-24 17:21:10.000000 UTC,
349,97,101,2020-12-28 09:54:13.000000 UTC,
350,98,101,2020-12-28 10:25:08.000000 UTC,
352,99,101,2020-12-28 10:29:02.000000 UTC,
359,100,101,2020-12-28 13:00:01.000000 UTC,
362,101,101,2020-12-28 15:42:37.000000 UTC,
377,102,101,2020-12-29 10:48:50.000000 UTC,
385,103,101,2020-12-29 13:54:39.000000 UTC,
387,104,101,2020-12-29 14:47:52.000000 UTC,
390,105,101,2020-12-29 15:20:10.000000 UTC,
392,106,101,2020-12-29 16:04:04.000000 UTC,
393,107,101,2020-12-29 16:56:39.000000 UTC,
394,108,101,2020-12-29 17:26:23.000000 UTC,
396,109,101,2020-12-30 09:10:00.000000 UTC,
397,110,101,2020-12-30 10:02:19.000000 UTC,
399,111,101,2020-12-30 10:31:48.000000 UTC,
400,112,101,2020-12-30 10:49:02.000000 UTC,
401,113,101,2020-12-30 11:10:08.000000 UTC,
406,114,101,2020-12-30 14:55:11.000000 UTC,
408,115,101,2020-12-30 15:17:41.000000 UTC,
409,116,101,2020-12-30 15:31:20.000000 UTC,
415,117,101,2020-12-31 10:42:29.000000 UTC,
